Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair deepmd, perpetual
      attributes: , newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
WARNING: Proc sub-domain size < neighbor skin, could lead to lost atoms (src/domain.cpp:963)
Per MPI rank memory allocation (min/avg/max) = 4.263 | 4.265 | 4.267 Mbytes
Step        CPU                Time   Temp         Press        Volume       Density      TotEng
       0            0            0    5134.0502    4688153.3    2461.6031    6.9602277   -552653.46 
     100     2.023484          0.1    5147.3637    4699951.2    2462.3026    6.9582505   -552653.52 
     200    4.0488899          0.2    5104.9449    4700312.2    2463.4798    6.9549255    -552648.8 
     300    6.1379979          0.3    5159.6192    4702211.2    2463.5888    6.9546178   -552629.26 
     400    8.1621869          0.4      5144.03      4695146    2464.4596    6.9521605   -552626.92 
     500    10.188195          0.5     4930.623    4697886.8    2465.1745    6.9501442   -552655.95 
     600    12.195213          0.6    4879.8387    4706510.8    2461.9158    6.9593437    -552663.7 
     700    14.204708          0.7    4829.9589    4700110.7    2460.9747     6.962005   -552661.94 
     800    16.231812          0.8    5026.7666    4707940.9    2465.5315     6.949138   -552667.55 
     900    18.243348          0.9    4996.8251    4669085.2    2463.6323    6.9544949   -552638.42 
    1000     20.26927            1    5207.6453    4745346.8    2453.0821    6.9844048   -552585.15 
    1100    22.280432          1.1    5283.7118    4703795.5    2464.7133    6.9514449   -552629.55 
    1200    24.284935          1.2    4851.6377    4612655.5     2477.234      6.91631   -552687.12 
    1300    26.311958          1.3    5010.9742    4707631.5    2464.0819     6.953226   -552662.84 
    1400    28.320922          1.4    5050.0001    4768217.6    2458.9029    6.9678712   -552658.87 
    1500    30.345988          1.5    4794.7972    4634453.6    2478.1369    6.9137901   -552727.59 
    1600    32.344633          1.6    4917.9791    4677245.6    2471.4979    6.9323622   -552710.15 
    1700    34.350403          1.7    4875.5466    4823592.7    2451.1894    6.9897979   -552629.58 
    1800    36.433732          1.8    4853.7263    4677972.5    2458.4472    6.9691626    -552620.3 
    1900    38.443988          1.9    5299.9998    4711596.1    2464.9117    6.9508854   -552629.25 
    2000    40.470847            2    4954.9795    4692485.9    2455.3591    6.9779276   -552593.89 
    2100    42.490005          2.1    5039.0247      4752296    2445.9345    7.0048149   -552572.13 
    2200    44.507055          2.2     4889.456    4661010.5    2459.3053    6.9667309   -552634.87 
    2300    46.538641          2.3    4975.7031    4650913.1    2459.6364    6.9657932   -552647.22 
    2400    48.555353          2.4    5022.0308    4751824.9    2443.1784    7.0127168   -552583.26 
    2500    50.589326          2.5    5175.3718    4738372.4    2445.0221    7.0074289   -552558.72 
    2600    52.605298          2.6    5210.6314    4616130.2     2466.294    6.9469894   -552621.03 
    2700    54.618682          2.7     5071.599    4685770.2    2455.1537    6.9785114    -552589.6 
    2800    56.661302          2.8    5018.4673      4788521    2436.5773    7.0317155   -552549.73 
    2900    58.683386          2.9    4862.3384      4766248    2451.7739    6.9881316   -552620.91 
    3000    60.703254            3    4805.4858    4591715.6    2487.6547    6.8873377    -552746.6 
    3100    62.699412          3.1    4955.3906    4629174.2    2479.7011    6.9094288   -552733.25 
    3200    64.706888          3.2    4695.1667    4795981.1    2445.3475    7.0064964    -552637.6 
    3300    66.767743          3.3    5096.3692    4718912.1    2466.4144    6.9466502   -552692.58 
    3400    68.764209          3.4    5068.5023    4547394.6    2494.2312    6.8691781   -552765.86 
    3500    70.779015          3.5    5194.2461    4716153.1    2462.1722     6.958619   -552662.91 
    3600    72.802128          3.6    5008.2719    4821677.4    2427.5151    7.0579656   -552526.77 
    3700    74.844728          3.7    4949.5262      4721562    2445.3603    7.0064597   -552561.61 
    3800    76.859385          3.8    4987.8464      4563372    2472.9928    6.9281715   -552633.45 
    3900     78.87933          3.9    5151.5089    4740401.8    2446.5111    7.0031639   -552551.18 
    4000    80.917195            4    4903.1203    4796129.7    2436.5641    7.0317537   -552527.39 
    4100    82.937751          4.1    4829.0657    4648902.8    2461.7001    6.9599537   -552633.85 
    4200    84.968589          4.2    4845.0139    4620634.2    2458.9646    6.9676961   -552625.94 
    4300    86.990081          4.3     4881.901    4757503.5     2438.374    7.0265342   -552543.45 
    4400    89.011819          4.4    4871.0671    4722477.5    2449.1915    6.9954998   -552556.28 
    4500     91.02549          4.5    4994.6396    4645750.8    2462.5204    6.9576352   -552598.49 
    4600    93.021771          4.6    4921.8918    4707951.5      2450.35    6.9921924   -552566.74 
    4700    95.163923          4.7    4941.1961    4757341.6     2440.176    7.0213453   -552549.45 
    4800    97.265443          4.8    4906.6181    4710931.4    2453.3824    6.9835498   -552608.11 
    4900     99.32372          4.9    4958.0098    4675402.5     2478.527    6.9127018   -552715.65 
    5000    101.45938            5     4943.452    4607031.6    2481.9141    6.9032681   -552740.84 
    5100    103.59147          5.1    4766.1188    4801087.5     2454.808    6.9794943   -552667.65 
    5200    105.74001          5.2     4968.671    4741017.8      2464.22    6.9528364   -552699.63 
    5300    107.87601          5.3    4791.8566    4607386.9    2484.6139     6.895767   -552760.05 
    5400     110.0184          5.4    4846.0856    4741309.3    2464.8405    6.9510861   -552687.93 
    5500    112.15702          5.5    5285.7355    4809092.8    2453.6305    6.9828437    -552631.2 
    5600    114.29621          5.6    5436.3524    4711551.9    2470.6479    6.9347472   -552673.01 
    5700    116.43836          5.7     5071.128    4654406.2    2475.9928     6.919777   -552697.47 
    5800    118.57044          5.8    4934.6509    4758712.5    2462.3083    6.9582345    -552688.8 
    5900    120.72154          5.9     4862.683    4689331.3    2469.0988    6.9390979   -552724.67 
    6000    122.84948            6    4790.8378    4654284.1     2478.499    6.9127799   -552745.31 
    6100    125.00243          6.1    5112.0104    4706854.2    2468.1204    6.9418486   -552699.18 
    6200    127.23689          6.2    4949.8029    4716021.8    2462.4497     6.957835   -552666.77 
    6300    129.37456          6.3    5080.6925    4666480.1    2466.5295    6.9463261   -552664.65 
    6400    131.53435          6.4    5008.2362    4711427.9    2455.6211    6.9771833   -552612.87 
    6500    133.68596          6.5    4907.5638    4759624.8    2447.0082    7.0017412   -552576.22 
    6600     135.8564          6.6    4935.7907    4664333.9    2462.9135    6.9565246   -552627.08 
    6700    137.99636          6.7     4997.547    4666063.5    2464.2002    6.9528923   -552638.07 
    6800     140.1562          6.8    4899.6757      4704567    2447.4912    7.0003596   -552595.15 
    6900    142.21458          6.9    4993.5955    4742885.9    2434.2658    7.0383927   -552533.48 
    7000    144.22186            7    5115.3499    4709383.5    2446.1572    7.0041771   -552542.79 
    7100    146.25427          7.1    5059.8551    4628132.2    2459.6772    6.9656775   -552577.81 
    7200    148.26978          7.2    5007.5354    4727997.9    2442.7764    7.0138708   -552528.49 
    7300    150.25894          7.3    4891.8423    4765519.2    2436.0218    7.0333189   -552534.94 
    7400    152.23188          7.4    5073.4396    4693576.4    2467.3167    6.9441098   -552660.06 
    7500    154.33282          7.5    5029.8237    4588419.3    2489.2206    6.8830053   -552735.22 
