# Chunk-averaged data for fix allrho1 and group c_keatom
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass c_keatom
10000 5 4352.08
  1 3.99663 1024 3.77246 0.0306754
  2 11.9966 1024 3.77246 2.24922e-06
  3 19.9966 1024 3.77246 0.00011112
  4 27.9966 1024 3.77246 0.0236065
  5 35.9966 256.077 0.943399 3.77743e-08
20000 5 5120
  1 4.03902 1024 3.77246 1.87263
  2 12.039 1024 3.77246 0.139925
  3 20.039 1024 3.77246 0.00111565
  4 28.039 1024 3.77246 0.0225949
  5 36.039 1024 3.77246 0.0212219
30000 6 6144
  1 6.20027 1183.89 4.37282 2.20288
  2 14.2003 1120.11 4.11522 1.59413
  3 22.2003 1024 3.77246 0.0656771
  4 30.2003 1024 3.77246 0.0211831
  5 38.2003 1021.19 3.76235 0.0260813
  6 46.2003 770.809 2.83947 0.018221
40000 7 7296.03
  1 8.21002 1204.17 4.43316 2.03594
  2 16.21 1218.13 4.4861 2.12889
  3 24.21 1161.69 4.28435 1.61399
  4 32.21 1024.01 3.77248 0.0373012
  5 40.21 853.603 3.14101 0.0222674
  6 48.21 938.397 3.4608 0.0261315
  7 56.21 896.026 3.301 0.0156397
50000 8 8448.05
  1 9.99689 1166.93 4.28844 2.21777
  2 17.9969 1247.01 4.60412 1.91172
  3 25.9969 1176.66 4.33753 2.27197
  4 33.9969 1226.99 4.51908 1.37502
  5 41.9969 814.412 2.99938 0.207993
  6 49.9969 1024 3.77246 0.0226677
  7 57.9969 1024 3.77246 0.0271988
  8 65.9969 768.051 2.82954 0.00919132
60000 9 9472.08
  1 12.1472 1185.94 4.37147 2.26809
  2 20.1472 1221.69 4.49885 2.39547
  3 28.1472 1215.51 4.47657 2.26038
  4 36.1472 1250.65 4.60803 1.66403
  5 44.1472 1014.21 3.73675 1.41694
  6 52.1472 1024 3.77246 0.0812016
  7 60.1472 1024 3.77246 0.0223831
  8 68.1472 1024 3.77246 0.0262233
  9 76.1472 512.077 1.88652 0.00419817
70000 10 10496.1
  1 13.9971 1123.55 4.14411 2.28199
  2 21.9971 1215.72 4.47381 2.66603
  3 29.9971 1306.19 4.81245 2.1812
  4 37.9971 1247.41 4.59002 1.66252
  5 45.9971 1166.98 4.31029 1.47933
  6 53.9971 1108.15 4.07658 1.0537
  7 61.9971 1024 3.77246 0.028094
  8 69.9971 1024 3.77246 0.0243343
  9 77.9971 768 2.82935 0.0254909
  10 85.9971 512.077 1.88652 0.00406418
80000 10 11264
  1 16.041 1098.23 4.04813 2.34925
  2 24.041 1221.82 4.50019 2.26052
  3 32.041 1353.11 4.98557 2.13563
  4 40.041 1304.19 4.80341 1.75815
  5 48.041 1166.65 4.29756 1.22532
  6 56.041 1183.14 4.35376 1.24994
  7 64.041 1120.87 4.13422 0.814132
  8 72.041 1024 3.77246 0.0227696
  9 80.041 768 2.82935 0.0254022
  10 88.041 1024 3.77246 0.0210051
90000 11 12416
  1 18.0011 1076.55 3.96729 1.96588
  2 26.0011 1246.78 4.59183 1.89068
  3 34.0011 1358.02 5.00245 1.96742
  4 42.0011 1351.78 4.98071 1.87892
  5 50.0011 1207.13 4.44883 1.27713
  6 58.0011 1182.42 4.35445 1.01053
  7 66.0011 1105.22 4.07323 1.27417
  8 74.0011 1191.62 4.38765 0.579725
  9 82.0011 776.475 2.86132 0.0229529
  10 90.0011 1024 3.77246 0.0257731
